Round,FIRE,FIREWithoutRecency,Random
0,1.9125,-1.75,0.875
1,5.2625,-3.0375,1.4
2,7.1375,-2.7875,0.9625
3,12.7625,2.425,2.2875
4,22.35,11.1,2.85
5,37.775,23.375,3.7125
6,60.9125,40.25,4.75
7,86.725,61.5375,5.55
8,116.85,85.1,5.925
9,151.175,109.925,7.4875
10,189.3375,137.8,6.6875
11,229.65,167.0,8.075
12,270.8875,196.3125,9.5625
13,315.575,227.825,9.225
14,360.625,262.975,10.85
15,406.0,297.1125,13.7375
16,451.3125,332.0875,14.0875
17,498.9375,367.55,12.35
18,548.2125,404.4125,12.3125
19,599.725,441.675,12.775
20,649.225,480.075,13.2375
21,699.4375,519.2625,13.275
22,752.8625,559.25,12.0625
23,808.125,600.4125,12.45
24,863.075,640.6125,12.1125
25,921.975,684.1,12.3625
26,980.55,728.7875,13.275
27,1038.7,772.9375,12.5875
28,1097.2625,817.8125,13.1375
29,1155.8,862.625,13.65
30,1215.7375,909.45,14.3375
31,1275.05,955.1375,13.025
32,1334.975,1001.8125,13.425
33,1397.0125,1049.225,14.3125
34,1460.025,1096.3625,14.3125
35,1521.85,1144.0125,13.5125
36,1585.6375,1192.4125,15.5125
37,1650.5875,1240.8,16.725
38,1715.625,1289.9625,16.2625
39,1779.225,1338.55,17.975
40,1843.9125,1388.525,16.9375
41,1911.3125,1436.9375,17.7
42,1978.5625,1486.85,19.6625
43,2046.2125,1537.95,20.35
44,2112.675,1585.5625,21.0375
45,2180.675,1635.5375,21.2625
46,2247.775,1684.375,21.45
47,2315.7875,1734.7,24.4625
48,2383.8,1785.7625,25.7625
49,2451.3,1837.9625,30.1
50,2519.4,1890.375,28.7625
51,2588.45,1943.0,30.5375
52,2657.8625,1993.65,32.1375
53,2728.2,2047.1375,33.1125
54,2798.4,2100.8625,32.8125
55,2868.275,2152.9125,33.4125
56,2938.475,2207.325,32.375
57,3009.0375,2260.8875,33.9
58,3079.8875,2315.4875,33.5375
59,3149.8625,2370.175,33.5625
60,3221.4125,2426.5,32.9125
61,3292.85,2481.025,32.1875
62,3363.725,2533.65,33.0
63,3435.325,2589.5875,31.275
64,3506.5,2645.4125,30.35
65,3578.9,2700.2375,30.525
66,3650.0,2755.2,30.2
67,3720.85,2808.7125,30.55
68,3790.7125,2864.2625,31.55
69,3861.4625,2918.025,32.275
70,3933.7375,2972.3625,32.4
71,4005.2125,3024.9375,33.3125
72,4076.725,3080.6875,33.05
73,4148.175,3135.05,34.925
74,4220.3,3188.5625,38.8625
75,4292.95,3245.1,37.9125
76,4365.375,3299.425,40.7375
77,4438.725,3355.2,41.95
78,4511.825,3410.5,45.2375
79,4584.6875,3463.55,45.5
80,4657.925,3517.875,46.4625
81,4730.0875,3572.2875,46.8
82,4803.8,3627.9125,46.375
83,4878.325,3683.4125,45.175
84,4951.05,3740.85,47.2875
85,5024.9625,3796.25,49.575
86,5098.925,3851.7875,51.8375
87,5173.9625,3907.075,50.7
88,5249.275,3961.975,52.0
89,5323.75,4018.2625,55.825
90,5397.725,4075.3375,57.525
91,5470.0125,4132.75,58.7875
92,5543.8,4190.1625,58.85
93,5617.7125,4247.8,59.5875
94,5691.2375,4305.3875,59.6625
95,5765.6125,4363.475,60.625
96,5840.2125,4421.0625,62.0
97,5914.8625,4478.975,64.8625
98,5989.3875,4537.5875,65.45
99,6065.2375,4595.5875,66.7375
