Round,Mitigating,Random,FIRE,FIREWithoutRecency
0,1.3125,-3.3875,-0.2125,-3.1875
1,7.175,-5.2875,-0.1125,-3.7625
2,18.675,-8.6375,2.6125,0.8
3,42.3125,-11.9875,9.525,10.2125
4,68.6875,-12.625,24.625,21.7875
5,102.225,-13.35,44.475,40.275
6,137.9,-15.8125,68.2,59.8125
7,174.15,-17.0375,95.225,84.9625
8,213.825,-18.1625,125.75,110.2625
9,255.1375,-19.9875,160.125,137.3625
10,295.6375,-21.85,197.525,164.4
11,338.425,-21.4625,233.6125,194.425
12,384.1375,-21.825,272.0375,226.725
13,429.425,-24.0625,313.275,261.5125
14,475.5375,-26.5,352.5125,296.775
15,524.0125,-29.1,394.15,332.1625
16,572.5875,-29.975,436.625,368.1125
17,623.825,-29.5875,479.2125,403.875
18,674.8625,-30.3125,521.3625,440.7625
19,727.025,-29.3375,564.85,477.75
20,779.4375,-28.875,610.175,516.2125
21,831.8125,-30.2,656.2875,553.3125
22,883.975,-29.9375,703.0375,592.2875
23,937.9,-29.4875,750.6625,631.1625
24,990.5,-29.1375,798.35,672.975
25,1045.25,-30.425,847.425,714.45
26,1099.1875,-32.575,897.35,755.5375
27,1153.975,-32.375,947.6125,796.2
28,1209.4125,-33.175,999.0375,836.775
29,1266.55,-35.4625,1051.1,876.425
30,1323.275,-37.0625,1103.575,916.2375
31,1380.2375,-37.45,1157.3375,956.425
32,1435.9625,-36.4125,1209.0875,997.2375
33,1491.5,-39.4125,1262.625,1038.8125
34,1548.5625,-42.4,1315.8625,1080.625
35,1605.625,-43.5875,1369.5125,1122.2125
36,1662.9875,-45.6625,1423.7625,1163.75
37,1719.25,-47.45,1477.15,1205.9125
38,1775.5875,-49.2875,1532.6375,1248.75
39,1831.45,-50.275,1587.275,1291.2
40,1889.3625,-50.6,1640.1625,1333.925
41,1946.25,-51.65,1695.65,1376.075
42,2004.1375,-53.8625,1750.5375,1419.8875
43,2064.4875,-54.775,1805.0625,1462.75
44,2124.675,-56.85,1861.8375,1506.025
45,2182.875,-58.85,1916.15,1549.8375
46,2240.85,-60.8,1972.0125,1594.45
47,2301.0625,-62.825,2028.3375,1638.7625
48,2360.675,-64.8125,2084.8375,1684.55
49,2419.45,-67.325,2140.375,1728.8625
50,2479.3125,-67.875,2197.5625,1773.5
51,2539.125,-71.1625,2255.15,1819.6625
52,2599.85,-74.275,2312.1375,1865.2875
53,2661.425,-75.9125,2367.9875,1908.7125
54,2722.2875,-76.7,2424.675,1952.65
55,2784.2375,-77.7375,2480.5625,1997.0875
56,2842.9,-81.1125,2538.35,2042.9875
57,2904.325,-83.175,2595.9875,2088.3125
58,2965.4875,-85.625,2654.1625,2132.2375
59,3026.975,-87.7875,2711.6375,2176.5125
60,3088.275,-89.25,2769.5375,2221.95
61,3149.175,-90.675,2828.2875,2267.0875
62,3210.5625,-93.45,2886.8,2312.2875
63,3271.8125,-95.9625,2944.3375,2359.4125
64,3333.9625,-97.6,3002.85,2405.575
65,3396.55,-101.4,3062.975,2452.7375
66,3458.575,-101.3625,3122.25,2499.0125
67,3522.55,-102.625,3180.2125,2545.1125
68,3585.7375,-103.975,3238.7,2592.2125
69,3647.9625,-104.8,3298.5875,2638.2375
70,3709.75,-107.725,3358.475,2685.275
71,3770.8375,-110.075,3418.075,2732.95
72,3834.9875,-111.125,3477.2125,2780.05
73,3898.65,-112.2,3536.25,2826.425
74,3961.95,-113.0625,3594.4,2874.2125
75,4024.5125,-112.925,3654.5,2920.3375
76,4087.5125,-114.4625,3714.0,2968.125
77,4150.8125,-116.35,3772.6,3015.5875
78,4214.05,-116.9125,3831.9,3065.025
79,4277.45,-118.5375,3891.175,3112.4125
80,4339.9,-120.125,3951.7375,3160.925
81,4402.6,-122.6125,4010.725,3210.5375
82,4466.35,-121.3125,4071.0125,3259.85
83,4530.45,-123.8,4130.125,3307.525
84,4595.7375,-123.9125,4190.55,3356.2625
85,4660.975,-125.15,4249.1375,3402.3875
86,4726.4375,-124.2375,4309.2375,3449.7125
87,4791.975,-124.2125,4369.6875,3497.4375
88,4857.5875,-125.1125,4429.9375,3543.775
89,4922.6,-126.025,4490.25,3590.675
90,4989.175,-125.7125,4552.725,3637.5875
91,5053.4625,-125.925,4614.9875,3683.7
92,5117.5625,-128.1625,4677.3125,3729.875
93,5181.65,-129.175,4739.45,3777.2375
94,5245.3125,-128.65,4801.5125,3823.825
95,5309.875,-131.5,4864.6875,3870.7
96,5373.95,-134.075,4925.6625,3917.7625
97,5437.25,-135.475,4986.325,3964.2
98,5502.7,-135.4125,5048.8625,4012.8875
99,5565.95,-134.7625,5110.025,4061.125
